iter	Passed	Remaining
0	0	855
1	1	781
2	2	764
3	2	741
4	3	753
5	4	749
6	5	733
7	5	723
8	6	713
9	7	710
10	7	714
11	8	708
12	9	706
13	9	702
14	10	701
15	11	697
16	12	694
17	12	693
18	13	692
19	14	692
20	14	690
21	15	689
22	16	686
23	16	683
24	17	681
25	18	680
26	18	676
27	19	678
28	20	676
29	20	675
30	21	673
31	22	670
32	22	668
33	23	667
34	24	666
35	24	665
36	25	664
37	26	662
38	26	659
39	27	656
40	28	658
41	28	658
42	29	658
43	30	659
44	30	657
45	31	655
46	32	653
47	32	652
48	33	650
49	34	651
50	34	649
51	35	649
52	36	648
53	36	647
54	37	645
55	38	645
56	38	643
57	39	642
58	40	642
59	40	641
60	41	640
61	42	640
62	43	639
63	43	638
64	44	637
65	44	635
66	45	635
67	46	634
68	46	633
69	47	633
70	48	632
71	49	632
72	49	630
73	50	629
74	51	629
75	51	630
76	52	628
77	53	626
78	53	625
79	54	624
80	54	623
81	55	623
82	56	619
83	56	618
84	57	617
85	58	616
86	58	616
87	59	615
88	60	614
89	60	613
90	61	612
91	62	612
92	62	612
93	63	611
94	64	611
95	64	609
96	65	607
97	65	605
98	66	603
99	66	601
100	67	601
101	68	600
102	68	599
103	69	598
104	70	597
105	70	596
106	71	595
107	71	594
108	72	592
109	73	591
110	73	590
111	74	588
112	74	587
113	75	586
114	75	584
115	76	582
116	76	580
117	77	579
118	78	579
119	78	578
120	79	578
121	80	576
122	80	575
123	81	573
124	81	572
125	82	571
126	82	568
127	83	566
128	83	566
129	84	565
130	85	564
131	85	563
132	86	561
133	86	560
134	87	558
135	87	557
136	88	555
137	88	554
138	89	553
139	89	552
140	90	551
141	90	548
142	91	547
143	91	546
144	92	544
145	92	543
146	93	542
147	93	540
148	94	539
149	95	538
150	95	537
151	96	536
152	96	535
153	97	533
154	97	532
155	98	531
156	98	530
157	99	528
158	99	528
159	100	527
160	100	526
161	101	525
162	102	525
163	102	524
164	103	524
165	104	523
166	104	522
167	105	522
168	106	521
169	106	522
170	107	521
171	108	520
172	108	520
173	109	519
174	109	518
175	110	517
176	111	517
177	112	519
178	113	518
179	113	517
180	114	516
181	114	515
182	115	514
183	115	513
184	116	513
185	117	513
186	117	512
187	118	512
188	119	511
189	119	510
190	120	509
191	120	508
192	121	508
193	122	507
194	122	506
195	123	506
196	124	505
197	124	505
198	125	504
199	125	503
200	126	502
201	127	502
202	127	502
203	128	501
204	129	501
205	129	501
206	130	500
207	131	499
208	131	498
209	132	497
210	133	497
211	133	497
212	134	496
213	135	495
214	135	495
215	136	494
216	136	493
217	137	492
218	137	492
219	138	491
220	139	491
221	140	491
222	140	490
223	141	489
224	142	489
225	142	488
226	143	487
227	143	487
228	144	486
229	145	485
230	145	485
231	146	484
232	146	483
233	147	482
234	147	481
235	148	480
236	148	479
237	149	479
238	150	478
239	150	477
240	151	476
241	151	475
242	152	474
243	152	473
244	153	472
245	153	471
246	154	471
247	155	470
248	155	470
249	156	469
250	157	468
251	157	467
252	158	466
253	158	465
254	159	464
255	159	463
256	160	462
257	160	462
258	161	461
259	161	460
260	162	459
261	162	458
262	163	457
263	163	456
264	164	455
265	164	454
266	165	453
267	165	453
268	166	452
269	167	451
270	167	451
271	168	450
272	168	449
273	169	448
274	169	448
275	170	447
276	171	446
277	171	446
278	172	445
279	172	444
280	173	443
281	173	442
282	174	441
283	174	440
284	175	439
285	175	438
286	176	437
287	176	437
288	177	436
289	177	435
290	178	434
291	179	434
292	179	433
293	180	432
294	180	431
295	181	431
296	182	430
297	182	430
298	183	429
299	183	428
300	184	427
301	184	426
302	185	425
303	185	425
304	186	424
305	186	423
306	187	422
307	187	421
308	188	421
309	188	420
310	189	419
311	189	418
312	190	417
313	190	416
314	191	415
315	191	415
316	192	414
317	192	413
318	193	412
319	193	412
320	194	411
321	194	410
322	195	410
323	196	409
324	196	408
325	197	407
326	197	406
327	198	405
328	198	405
329	199	404
330	199	403
331	200	402
332	200	402
333	201	401
334	201	400
335	202	399
336	202	398
337	203	398
338	203	397
339	204	396
340	204	396
341	205	395
342	205	394
343	206	393
344	206	392
345	207	392
346	207	391
347	208	390
348	208	389
349	209	389
350	210	388
351	210	387
352	211	386
353	211	386
354	212	385
355	212	384
356	213	383
357	213	382
358	214	382
359	214	381
360	215	380
361	215	380
362	216	379
363	216	378
364	217	377
365	217	377
366	218	376
367	218	375
368	219	374
369	219	374
370	220	373
371	220	372
372	221	371
373	221	371
374	222	370
375	222	369
376	223	368
377	223	368
378	224	367
379	224	366
380	225	365
381	225	365
382	226	364
383	226	364
384	227	363
385	227	362
386	228	361
387	228	361
388	229	360
389	229	359
390	230	358
391	230	358
392	231	357
393	232	356
394	232	356
395	233	355
396	233	354
397	234	354
398	234	353
399	235	352
400	235	351
401	236	351
402	236	350
403	237	350
404	237	349
405	238	348
406	239	348
407	239	347
408	240	347
409	240	346
410	241	345
411	241	345
412	242	344
413	243	344
414	243	343
415	244	342
416	244	342
417	245	341
418	245	340
419	246	340
420	246	339
421	247	339
422	248	338
423	248	337
424	249	337
425	249	336
426	250	335
427	250	335
428	251	334
429	251	333
430	252	332
431	252	332
432	253	331
433	253	331
434	254	330
435	255	330
436	255	329
437	256	328
438	256	328
439	257	327
440	257	326
441	258	326
442	259	325
443	259	325
444	260	324
445	260	323
446	261	323
447	261	322
448	262	321
449	262	321
450	263	320
451	263	319
452	264	319
453	264	318
454	265	317
455	265	317
456	266	316
457	266	315
458	267	315
459	267	314
460	268	313
461	268	312
462	269	312
463	269	311
464	270	311
465	270	310
466	271	309
467	271	309
468	272	308
469	273	307
470	273	307
471	274	306
472	274	305
473	275	305
474	275	304
